code,lien
code1000,https://www.alsumaria.tv/news/localnews/489754/%D9%86%D9%81%D9%88%D9%82-%D8%B9%D8%AF%D8%AF-%D9%85%D9%86-%D8%A7%D9%84%D8%B7%D9%8A%D9%88%D8%B1-%D9%81%D9%8A-%D8%AA%D9%83%D8%B1%D9%8A%D8%AA-%D8%A3%D9%88%D9%84-%D8%AA%D8%B9%D9%84%D9%8A%D9%82-%D9%84%D9%84%D8%B5%D8%AD%D8%A9#google_vignette
code1001,https://www.libyaakhbar.com/libya-news/2385133.html
code1002,https://www.wattagnet.com/broilers-turkeys/diseases-health/article/15673475/newcastle-disease-appears-in-swedish-layer-flock
code1003,https://www.elwatannews.com/news/details/7358371
code1004,https://www.leparisien.fr/societe/sante/grippe-aviaire-h5n1-un-troisieme-cas-humain-aux-etats-unis-lie-a-une-epidemie-chez-les-vaches-30-05-2024-3FSJBEOOUVGGNITFBEN4OTZ3I4.php
code1005,https://www.masrawy.com/news/news_egypt/details/2024/5/31/2590869/%D8%B1%D8%B3%D9%85%D9%8A%D8%A7-%D9%85%D8%B5%D8%B1-%D8%AE%D8%A7%D9%84%D9%8A%D8%A9-%D9%85%D9%86-%D9%85%D8%B1%D8%B6-%D8%B7%D8%A7%D8%B9%D9%88%D9%86-%D8%A7%D9%84%D8%AE%D9%8A%D9%84-%D8%A7%D9%84%D8%A5%D9%81%D8%B1%D9%8A%D9%82%D9%8A
code1006,https://www.nbclosangeles.com/news/health-wellness/la-county-west-nile-virus-mosquito/3426391/
code1007,https://www.the-star.co.ke/news/2024-06-01-panic-as-anthrax-kills-6-sheep-dairy-cow-in-nandi/
code1008,https://www.desmoinesregister.com/story/money/agriculture/2024/06/02/bird-flu-outbreak-infects-103000-turkeys-at-cherokee-county-facility/73950436007/
code1009,https://alwasat.ly/news/libya/440842
code1010,https://www.lafranceagricole.fr/mhe-maladie-hemorragique-epizootique/article/867930/4-310-foyers-de-maladie-hemorragique-epizootique-en-france
code1011,https://aawsat.com/home/article/4191416/%D8%A7%D9%84%D8%A8%D8%B1%D8%A7%D8%B2%D9%8A%D9%84-%D8%AA%D8%B9%D9%84%D9%86-%D8%A3%D9%86-%D8%AD%D8%A7%D9%84%D8%A9-%D8%AC%D9%86%D9%88%D9%86-%D8%A7%D9%84%D8%A8%D9%82%D8%B1-%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%B4%D9%81%D8%A9-%D9%84%D8%AF%D9%8A%D9%87%D8%A7-%C2%AB%D8%BA%D9%8A%D8%B1-%D9%86%D9%85%D8%B7%D9%8A%D8%A9%C2%BB?page=4
code1012,https://www.cbsnews.com/sanfrancisco/news/two-chickens-tested-positive-for-bird-flu-at-san-francisco-live-bird-market/
